# k, phh, phm/ 
2.2396e+00 5.9450e+02 7.0217e+01
2.2437e+00 5.9353e+02 6.9961e+01
2.2478e+00 5.9218e+02 6.9764e+01
2.2519e+00 5.9193e+02 6.9654e+01
2.2560e+00 5.9018e+02 6.9367e+01
2.2601e+00 5.9014e+02 6.9260e+01
2.2642e+00 5.8857e+02 6.8945e+01
2.2682e+00 5.8717e+02 6.8746e+01
2.2723e+00 5.8554e+02 6.8410e+01
2.2764e+00 5.8496e+02 6.8288e+01
2.2805e+00 5.8378e+02 6.8045e+01
2.2846e+00 5.8348e+02 6.7917e+01
2.2887e+00 5.8241e+02 6.7643e+01
2.2928e+00 5.8101e+02 6.7461e+01
2.2969e+00 5.7958e+02 6.7097e+01
2.3010e+00 5.7888e+02 6.7006e+01
2.3051e+00 5.7790e+02 6.6792e+01
2.3091e+00 5.7639e+02 6.6582e+01
2.3132e+00 5.7618e+02 6.6417e+01
2.3173e+00 5.7483e+02 6.6101e+01
2.3214e+00 5.7265e+02 6.5772e+01
2.3255e+00 5.7225e+02 6.5679e+01
2.3296e+00 5.7159e+02 6.5527e+01
2.3337e+00 5.7014e+02 6.5282e+01
2.3378e+00 5.6904e+02 6.5005e+01
2.3419e+00 5.6862e+02 6.4922e+01
2.3460e+00 5.6705e+02 6.4669e+01
2.3500e+00 5.6646e+02 6.4492e+01
2.3541e+00 5.6597e+02 6.4272e+01
2.3582e+00 5.6404e+02 6.4040e+01
2.3623e+00 5.6340e+02 6.3817e+01
2.3664e+00 5.6270e+02 6.3669e+01
2.3705e+00 5.6111e+02 6.3448e+01
