# Real space auto- and cross-spectra.
# z=3.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    1.29467e+00     1.27297e+03     4.23206e+01     6.24276e+00
    1.29876e+00     1.26918e+03     4.21250e+01     6.20393e+00
    1.30285e+00     1.26558e+03     4.18175e+01     6.15334e+00
    1.30694e+00     1.26411e+03     4.16813e+01     6.11974e+00
    1.31103e+00     1.26421e+03     4.15442e+01     6.08852e+00
    1.31512e+00     1.25970e+03     4.13544e+01     6.05592e+00
    1.31921e+00     1.25871e+03     4.12179e+01     6.01571e+00
    1.32331e+00     1.25600e+03     4.10004e+01     5.98147e+00
    1.32739e+00     1.25510e+03     4.07103e+01     5.94604e+00
    1.33148e+00     1.24965e+03     4.05269e+01     5.90402e+00
    1.33558e+00     1.24977e+03     4.03878e+01     5.86577e+00
    1.33967e+00     1.24626e+03     4.01783e+01     5.84612e+00
    1.34376e+00     1.24748e+03     4.01589e+01     5.81572e+00
    1.34785e+00     1.24266e+03     3.99316e+01     5.77334e+00
    1.35195e+00     1.24140e+03     3.96363e+01     5.73541e+00
    1.35603e+00     1.23825e+03     3.94927e+01     5.69906e+00
    1.36011e+00     1.23789e+03     3.93856e+01     5.67650e+00
    1.36421e+00     1.23334e+03     3.90483e+01     5.62064e+00
    1.36830e+00     1.23351e+03     3.89638e+01     5.59886e+00
    1.37239e+00     1.23190e+03     3.88871e+01     5.57525e+00
    1.37648e+00     1.22965e+03     3.86819e+01     5.53935e+00
    1.38057e+00     1.22715e+03     3.84841e+01     5.50531e+00
    1.38466e+00     1.22425e+03     3.81133e+01     5.46314e+00
    1.38875e+00     1.22037e+03     3.81207e+01     5.43624e+00
    1.39285e+00     1.22065e+03     3.80077e+01     5.40755e+00
    1.39694e+00     1.21763e+03     3.77527e+01     5.37538e+00
    1.40102e+00     1.21409e+03     3.76236e+01     5.35706e+00
    1.40512e+00     1.21015e+03     3.73810e+01     5.32320e+00
    1.40921e+00     1.21251e+03     3.73092e+01     5.28009e+00
    1.41330e+00     1.20684e+03     3.70930e+01     5.25758e+00
    1.41739e+00     1.20835e+03     3.69426e+01     5.21793e+00
    1.42148e+00     1.20574e+03     3.68299e+01     5.20210e+00
    1.42557e+00     1.20235e+03     3.66780e+01     5.17358e+00
    1.42966e+00     1.20296e+03     3.65366e+01     5.14474e+00
    1.43375e+00     1.19950e+03     3.63956e+01     5.12190e+00
    1.43784e+00     1.19847e+03     3.62479e+01     5.08357e+00
    1.44193e+00     1.19484e+03     3.60634e+01     5.05751e+00
    1.44602e+00     1.19030e+03     3.57900e+01     5.01858e+00
    1.45011e+00     1.19187e+03     3.58513e+01     4.99766e+00
    1.45420e+00     1.18734e+03     3.54233e+01     4.96416e+00
    1.45830e+00     1.18832e+03     3.54133e+01     4.93778e+00
    1.46239e+00     1.18499e+03     3.53614e+01     4.92133e+00
    1.46648e+00     1.18321e+03     3.51180e+01     4.88947e+00
    1.47056e+00     1.17968e+03     3.49692e+01     4.85767e+00
    1.47465e+00     1.17870e+03     3.47313e+01     4.81574e+00
    1.47874e+00     1.17680e+03     3.46072e+01     4.79995e+00
    1.48283e+00     1.17665e+03     3.45401e+01     4.77867e+00
    1.48693e+00     1.17061e+03     3.42228e+01     4.74186e+00
    1.49102e+00     1.17059e+03     3.42830e+01     4.72953e+00
    1.49511e+00     1.16789e+03     3.40425e+01     4.69524e+00
    1.49920e+00     1.16699e+03     3.39723e+01     4.67297e+00
    1.50329e+00     1.16499e+03     3.38879e+01     4.65389e+00
    1.50738e+00     1.16266e+03     3.36826e+01     4.62765e+00
    1.51148e+00     1.15864e+03     3.35354e+01     4.60212e+00
    1.51557e+00     1.15840e+03     3.33853e+01     4.57253e+00
    1.51965e+00     1.15673e+03     3.31741e+01     4.54535e+00
    1.52374e+00     1.15498e+03     3.31475e+01     4.53061e+00
    1.52784e+00     1.15401e+03     3.29665e+01     4.49407e+00
    1.53193e+00     1.15181e+03     3.28493e+01     4.47198e+00
    1.53602e+00     1.14809e+03     3.27838e+01     4.45819e+00
    1.54011e+00     1.14801e+03     3.25585e+01     4.42684e+00
    1.54420e+00     1.14268e+03     3.24155e+01     4.40476e+00
    1.54829e+00     1.14269e+03     3.22698e+01     4.38069e+00
    1.55238e+00     1.14205e+03     3.22512e+01     4.35908e+00
    1.55647e+00     1.13930e+03     3.20194e+01     4.33205e+00
    1.56056e+00     1.13782e+03     3.19358e+01     4.31420e+00
    1.56465e+00     1.13627e+03     3.18895e+01     4.29698e+00
    1.56874e+00     1.13413e+03     3.16689e+01     4.26136e+00
    1.57283e+00     1.13091e+03     3.14824e+01     4.23526e+00
    1.57693e+00     1.12818e+03     3.13306e+01     4.22125e+00
    1.58102e+00     1.12782e+03     3.12290e+01     4.19837e+00
    1.58510e+00     1.12672e+03     3.12314e+01     4.18227e+00
    1.58919e+00     1.12466e+03     3.10970e+01     4.15483e+00
    1.59329e+00     1.12055e+03     3.09411e+01     4.13041e+00
    1.59738e+00     1.11925e+03     3.07426e+01     4.10507e+00
    1.60147e+00     1.12063e+03     3.08328e+01     4.09017e+00
    1.60556e+00     1.11609e+03     3.05333e+01     4.07069e+00
    1.60965e+00     1.11273e+03     3.04174e+01     4.04389e+00
    1.61374e+00     1.11258e+03     3.03342e+01     4.03107e+00
    1.61783e+00     1.10931e+03     3.00867e+01     3.99812e+00
    1.62192e+00     1.10752e+03     3.00551e+01     3.98370e+00
    1.62601e+00     1.10564e+03     2.99966e+01     3.96573e+00
    1.63010e+00     1.10450e+03     2.98565e+01     3.94371e+00
    1.63419e+00     1.10483e+03     2.97891e+01     3.92255e+00
    1.63828e+00     1.09920e+03     2.94962e+01     3.89702e+00
    1.64238e+00     1.09947e+03     2.95091e+01     3.88491e+00
    1.64647e+00     1.09700e+03     2.93820e+01     3.85873e+00
    1.65055e+00     1.09568e+03     2.92447e+01     3.83738e+00
    1.65465e+00     1.09321e+03     2.91786e+01     3.82859e+00
    1.65874e+00     1.09404e+03     2.91923e+01     3.81280e+00
    1.66283e+00     1.08874e+03     2.88604e+01     3.78601e+00
    1.66691e+00     1.08785e+03     2.88346e+01     3.76924e+00
    1.67101e+00     1.08613e+03     2.87085e+01     3.74112e+00
    1.67510e+00     1.08236e+03     2.86226e+01     3.72931e+00
    1.67919e+00     1.08304e+03     2.85158e+01     3.71186e+00
    1.68328e+00     1.08132e+03     2.84680e+01     3.69802e+00
